seed	soil	fert	water	light	temp	humi	loc
0		0		39		28		21		21		22		22
1		1		40		29		22		22		23		23
2		2		41		30		23		23		24		24
3		3		42		31		24		24		25		25
4		4		43		32		25		25		26		26
5		5		44		33		26		26		27		27
6		6		45		34		27		27		28		28
7		7		46		35		28		28		29		29
8		8		47		36		29		29		30		30
9		9		48		37		30		30		31		31
10		10		49		38		31		31		32		32
11		11		50		39		32		32		33		33
12		12		51		40		33		33		34		34
13		13		52		41		34		34		35		35
14		14		53		49		42		42		43		43
15		15		0		42		35		35		36		36
16		16		1		43		36		36		37		37
17		17		2		44		37		37		38		38
18		18		3		45		38		38		39		39
19		19		4		46		39		39		40		40
20		20		5		47		40		40		41		41
21		21		6		48		41		41		42		42
22		22		7		57		50		86		86		90
23		23		8		58		51		87		87		91
24		24		9		59		52		88		88		92
25		25		10		60		53		89		89		93
26		26		11		0		0		0		1		1
27		27		12		1		1		1		2		2
28		28		13		2		2		2		3		3
29		29		14		3		3		3		4		4
30		30		15		4		4		4		5		5
31		31		16		5		5		5		6		6
32		32		17		6		6		6		7		7
33		33		18		7		7		7		8		8
34		34		19		8		8		8		9		9
35		35		20		9		9		9		10		10
36		36		21		10		10		10		11		11
37		37		22		11		11		11		12		12
38		38		23		12		12		12		13		13
39		39		24		13		13		13		14		14
40		40		25		14		14		14		15		15
41		41		26		15		15		15		16		16
42		42		27		16		16		16		17		17
43		43		28		17		17		17		18		18
44		44		29		18		88		56		57		61
45		45		30		19		89		57		58		62
46		46		31		20		90		58		59		63
47		47		32		21		91		59		60		64
48		48		33		22		92		60		61		65
49		49		34		23		93		61		62		66
50		52		37		26		19		19		20		20
51		53		38		27		20		20		21		21
52		54		54		50		43		43		44		44
53		55		55		51		44		44		45		45
54		56		56		52		45		81		81		85
55		57		57		53		46		82		82		86
56		58		58		54		47		83		83		87
57		59		59		55		48		84		84		88
58		60		60		56		49		85		85		89
59		61		61		61		54		90		90		94
60		62		62		62		55		91		91		95
61		63		63		63		56		92		92		96
62		64		64		64		57		93		93		56
63		65		65		65		58		94		94		57
64		66		66		66		59		95		95		58
65		67		67		67		60		96		96		59
66		68		68		68		61		97		97		97
67		69		69		69		62		98		98		98
68		70		70		70		63		99		99		99
69		71		71		71		64		68		69		73
70		72		72		72		65		69		0		0
71		73		73		73		66		70		70		74
72		74		74		74		67		71		71		75
73		75		75		75		68		72		72		76
74		76		76		76		69		73		73		77
75		77		77		77		70		74		74		78
76		78		78		78		71		75		75		79
77		79		79		79		72		76		76		80
78		80		80		80		73		77		77		81
79		81		81		81		74		78		78		82
80		82		82		82		75		79		79		83
81		83		83		83		76		80		80		84
82		84		84		84		77		45		46		46
83		85		85		85		78		46		47		47
84		86		86		86		79		47		48		48
85		87		87		87		80		48		49		49
86		88		88		88		81		49		50		50
87		89		89		89		82		50		51		51
88		90		90		90		83		51		52		52
89		91		91		91		84		52		53		53
90		92		92		92		85		53		54		54
91		93		93		93		86		54		55		55
92		94		94		94		87		55		56		60
93		95		95		95		95		63		64		68
94		96		96		96		96		64		65		69
95		97		97		97		97		65		66		70
96		98		98		98		98		66		67		71
97		99		99		99		99		67		68		72
98		50		35		24		94		62		63		67
99		51		36		25		18		18		19		19
